ˉ	-	w
‥	¨	w
¨	¨	w
‵	`	w
｀	`	w
＾	^	w
^	^	w
﹟	#	w
#	#	w
﹠	&	w
＆	&	w
&	&	w
﹡	*	w
＊	*	w
*	*	w
﹢	+	w
＋	+	w
+	+	w
﹣	-	w
-	-	w
﹤	<	w
＜	<	w
<	<	w
﹥	>	w
＞	>	w
>	>	w
﹦	=	w
＝	=	w
=	=	w
≒	≈	w
≈	≈	w
≦	≤	w
≤	≤	w
≧	≥	w
≥	≥	w
︱	|	w
｜	|	w
︳	|	w
|	|	w
︿	∧	w
∧	∧	w
﹀	∨	w
∨	∨	w
／	/	w
/	/	w
＼	\	w
\	\	w
﹐	,	w
，	,	w
,	,	w
。	.	w
｡	.	w
．	.	w
.	.	w
﹑	,	w
、	,	w
､	,	w
︰	:	w
∶	:	w
﹕	:	w
：	:	w
:	:	w
⋯	…	w
…	…	w
···	…	w
...	…	w
....	…	w
.....	……	w
......	……	w
－	—	w
—	—	w
-- —	w
--- ---	w
＠	@	w
﹫	@	w
％	%	w
﹪	%	w
%	%	w
‰	‰	w
；	;	w
﹔	;	w
;	;	w
～	~	w
~	~	w
！	!	w
﹗	!	w
!	!	w
？	?	w
﹖	?	w
?	?	w
‧	·	w
•	·	w
·	·	w
￥	￥	w
﹩	$	w
＄	$	w
$	$	w
￡	￡	w
°	°	w
℃	℃	w
『	“	w
“	“	w
「	‘	w
‘	‘	w
』	”	w
”	”	w
」	’	w
’	’	w
"	"	w
｟	(	w
（	(	w
﹙	(	w
(	(	w
〔	(	w
﹝	[	w
［	[	w
[	[	w
【	[	w
〖	[	w
｛	{	w
﹛	{	w
{	{	w
《	⟨	w
〈	⟨	w
⟨	⟨	w
｠	)	w
﹚	)	w
）	)	w
〕	)	w
)	)	w
﹞	]	w
］	]	w
】	]	w
〗	〗	w
]	]	w
﹜	}	w
｝	}	w
}	}	w
》	⟩	w
〉	⟩	w
⟩	⟩	w
'	'	x
╴	_	x
＿	_	x
_	_	x
ａ	a	x
a	a	x
ｂ	b	x
b	b	x
ｃ	c	x
c	c	x
ｄ	d	x
d	d	x
ｅ	e	x
e	e	x
ｆ	f	x
f	f	x
ｇ	g	x
g	g	x
ｈ	h	x
h	h	x
ｉ	i	x
i	i	x
ｊ	j	x
j	j	x
ｋ	k	x
k	k	x
ｌ	l	x
l	l	x
ｍ	m	x
m	m	x
ｎ	n	x
n	n	x
ｏ	o	x
o	o	x
ｐ	p	x
p	p	x
ｑ	q	x
q	q	x
ｒ	r	x
r	r	x
ｓ	s	x
s	s	x
ｔ	t	x
t	t	x
ｕ	u	x
u	u	x
ｖ	v	x
v	v	x
ｗ	w	x
w	w	x
ｘ	x	x
x	x	x
ｙ	y	x
y	y	x
ｚ	z	x
z	z	x
Ａ	A	x
A	A	x
Ｂ	B	x
B	B	x
Ｃ	C	x
C	C	x
Ｄ	D	x
D	D	x
Ｅ	E	x
E	E	x
Ｆ	F	x
F	F	x
Ｇ	G	x
G	G	x
Ｈ	H	x
H	H	x
Ｉ	I	x
I	I	x
Ｊ	J	x
J	J	x
Ｋ	K	x
K	K	x
Ｌ	L	x
L	L	x
Ｍ	M	x
M	M	x
Ｎ	N	x
N	N	x
Ｏ	O	x
O	O	x
Ｐ	P	x
P	P	x
Ｑ	Q	x
Q	Q	x
Ｒ	R	x
R	R	x
Ｓ	S	x
S	S	x
Ｔ	T	x
T	T	x
Ｕ	U	x
U	U	x
Ｖ	V	x
V	V	x
Ｗ	W	x
W	W	x
Ｘ	X	x
X	X	x
Ｙ	Y	x
Y	Y	x
Ｚ	Z	x
Z	Z	x
１	1	m
1	1	m
２	2	m
2	2	m
３	3	m
3	3	m
４	4	m
4	4	m
５	5	m
5	5	m
６	6	m
6	6	m
７	7	m
7	7	m
８	8	m
8	8	m
９	9	m
9	9	m
０	0	m
0	0	m
o(^-^)o	o(^-^)o	xx
q(^-^q)	q(^-^q)	xx
o(^▽^)o	o(^▽^)o	xx
( ^ω^ )	( ^ω^ )	xx
↖(^ω^)↗	↖(^ω^)↗	xx
ლ(◠o◠)ლ	ლ(◠o◠)ლ	xx
(●^∀^●)	(●^∀^●)	xx
(^^)/	(^^)/	xx
\(^-^)/	\(^-^)/	xx
＼(^o^)／	＼(^o^)／	xx
\( ˆoˆ )/	\( ˆoˆ )/	xx
\(◦˙︶˙◦)/	\(◦˙︶˙◦)/	xx
\(≧▽≦)/	\(≧▽≦)/	xx
＼(o⌒∇⌒o)/	＼(o⌒∇⌒o)/	xx
(*´∀｀)	(*´∀｀)	xx
(´▽｀ )	(´▽｀ )	xx
( ´ω ` )	( ´ω ` )	xx
(´◡͐`)	(´◡͐`)	xx
(﹡ˆ﹀ˆ﹡)	(﹡ˆ﹀ˆ﹡)	xx
ヽ(´▽`)/	ヽ(´▽`)/	xx
ヽ(´▽｀)/	ヽ(´▽｀)/	xx
ヽ(´-｀)ノ	ヽ(´-｀)ノ	xx
ヽ(・∀・)ノ	ヽ(・∀・)ノ	xx
(.・v・)ノ	(.・v・)ノ	xx
♪( ´θ｀)ノ	♪( ´θ｀)ノ	xx
(๑•ω•๑)/	(๑•ω•๑)/	xx
ヾ(✿❛◡❛ฺฺ)ノ	ヾ(✿❛◡❛ฺฺ)ノ	xx
❀.(´◡`)❀.	❀.(´◡`)❀.	xx
٩(๑❛ᴗ❛๑)۶	٩(๑❛ᴗ❛๑)۶	xx
♪(ｏ・ω・)ノ))	♪(ｏ・ω・)ノ))	xx
(•̀ω•́)و❤♪	(•̀ω•́)و❤♪	xx
(●´ω｀●)♪	(●´ω｀●)♪	xx
(*´ω｀*)♪	(*´ω｀*)♪	xx
♪( ´▽｀)	♪( ´▽｀)	xx
(๑˃ٮ˂๑)	(๑˃ٮ˂๑)	xx
(๑>◡<๑)	(๑>◡<๑)	xx
(⋈◍＞◡＜◍)	(⋈◍＞◡＜◍)	xx
ヾ(＠⌒ー⌒＠)ノ	ヾ(＠⌒ー⌒＠)ノ	xx
( ›◡ु‹ )﻿	( ›◡ु‹ )﻿	xx
┗(｀・∀・´○)	┗(｀・∀・´○)	xx
ヽ(´ー｀)ノ	ヽ(´ー｀)ノ	xx
(・v・)♪	(・v・)♪	xx
(￣∇￣)♪	(￣∇￣)♪	xx
(o・ω・o)♪	(o・ω・o)♪	xx
٩( ´◡` )( ´◡` )۶	٩( ´◡` )( ´◡` )۶	xx
(=´∀｀)人(´∀｀=)	(=´∀｀)人(´∀｀=)	xx
\( =∀= )/\( =∀= )/	\( =∀= )/\( =∀= )/	xx
(*^・з・^)人(^・ω・^*)	(*^・з・^)人(^・ω・^*)	xx
(＞ー゜)(。_＜)	(＞ー゜)(。_＜)	xx
❤\(˙з˙)\(˙з˙)/(˙з˙)/❤\(˙з˙)\(˙з˙)/(˙з˙)/❤	❤\(˙з˙)\(˙з˙)/(˙з˙)/❤\(˙з˙)\(˙з˙)/(˙з˙)/❤	xx
ʕ•̫͡•ʔ♡ʕ•̫͡•ʔ	ʕ•̫͡•ʔ♡ʕ•̫͡•ʔ	xx
（♡´▽｀♡）	（♡´▽｀♡）	xx
(♡˙︶˙♡)	(♡˙︶˙♡)	xx
╰(´︶`)╯♡	╰(´︶`)╯♡	xx
(´˘`)♡﻿	(´˘`)♡﻿	xx
(❁´ ω `❁) ♡	(❁´ ω `❁) ♡	xx
(ฅ•ω•ฅ)♡	(ฅ•ω•ฅ)♡	xx
(●´˘`●)♡	(●´˘`●)♡	xx
(❀´ω`❀)	(❀´ω`❀)	xx
(✿^^✿)	(✿^^✿)	xx
ヽ(♡´ω`♡)ノ	ヽ(♡´ω`♡)ノ	xx
(๑´ω`๑)♡♡♡	(๑´ω`๑)♡♡♡	xx
ヽ(´o｀♡	ヽ(´o｀♡	xx
♡(>▽<)♥	♡(>▽<)♥	xx
(♡>艸<♡) ///	(♡>艸<♡) ///	xx
(♥´ ∀`♥)	(♥´ ∀`♥)	xx
(´♡ω♡`)	(´♡ω♡`)	xx
(o•ω•o)♡	(o•ω•o)♡	xx
( ´͈ ᗨ `͈ )◞♡⃛	( ´͈ ᗨ `͈ )◞♡⃛	xx
(´,,•ω•,,)♡	(´,,•ω•,,)♡	xx
(*๓´╰╯`๓) ♡	(*๓´╰╯`๓) ♡	xx
(・ε・)	(・ε・)	xx
(´ε｀ )	(´ε｀ )	xx
(* ´3｀)	(* ´3｀)	xx
( *˘ᵌ˘)♪	( *˘ᵌ˘)♪	xx
(∗❛ัε ❛ั ๑ )	(∗❛ัε ❛ั ๑ )	xx
(^з^)-☆	(^з^)-☆	xx
( ˘ ³˘)♥	( ˘ ³˘)♥	xx
(๑´ㅂ`๑)	(๑´ㅂ`๑)	xx
(●´ϖ`●)	(●´ϖ`●)	xx
ヽ(*・ω・)ﾉ	ヽ(*・ω・)ﾉ	xx
(＊´∪｀＊)	(＊´∪｀＊)	xx
(・ω・*)	(・ω・*)	xx
(*・ω・)❢	(*・ω・)❢	xx
( *｀ω´)	( *｀ω´)	xx
(`へ´*)ノ	(`へ´*)ノ	xx
(・∀・)	(・∀・)	xx
(。・ω・。)	(。・ω・。)	xx
(๑•́ ∞ •̀๑)	(๑•́ ∞ •̀๑)	xx
( ˘•ω•˘ )♡	( ˘•ω•˘ )♡	xx
(๑•́ωก̀๑)♥	(๑•́ωก̀๑)♥	xx
(♥ŐωŐ♥)	(♥ŐωŐ♥)	xx
(๑•́ ₃ •̀๑)	(๑•́ ₃ •̀๑)	xx
(๑•ั็ω•็ั)/	(๑•ั็ω•็ั)/	xx
ʕु-̫͡-ʔु”	ʕु-̫͡-ʔु”	xx
ʕ̡̢̡ʘ̅͟͜͡ʘ̲̅ʔ̢̡̢	ʕ̡̢̡ʘ̅͟͜͡ʘ̲̅ʔ̢̡̢	xx
٩(๑❛ʚ❛๑)۶	٩(๑❛ʚ❛๑)۶	xx
(.› ₃ ‹.)	(.› ₃ ‹.)	xx
(^▽^;)	(^▽^;)	xx
(・・；)	(・・；)	xx
(´д`;)	(´д`;)	xx
(;´д｀)	(;´д｀)	xx
(*´Д｀)	(*´Д｀)	xx
(´；ω；｀)	(´；ω；｀)	xx
ヽ(；▽；)ノ	ヽ(；▽；)ノ	xx
└(T_T;)┘	└(T_T;)┘	xx
（ つ Д ｀）	（ つ Д ｀）	xx
Σ(゜д゜;)	Σ(゜д゜;)	xx
｀゜∇゜´	｀゜∇゜´	xx
(´°∀°)	(´°∀°)	xx
(゜∀。*)	(゜∀。*)	xx
(°_°)	(°_°)	xx
(๑°⌓°๑)	(๑°⌓°๑)	xx
(๑°ㅁ°๑)	(๑°ㅁ°๑)	xx
(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)	(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)	xx
ヾ( °ω° )	ヾ( °ω° )	xx
(゜_゜)	(゜_゜)	xx
（；゜０゜）	（；゜０゜）	xx
(°-゜)♪	(°-゜)♪	xx
(oдolll)	(oдolll)	xx
ฅ(º ﾛ º ฅ)	ฅ(º ﾛ º ฅ)	xx
((((((゜Д゜*))))))))))))	((((((゜Д゜*))))))))))))	xx
(´・_・`)	(´・_・`)	xx
(・o・)ノ	(・o・)ノ	xx
(￣ー￣)ｂ	(￣ー￣)ｂ	xx
(・ω・)	(・ω・)	xx
(｀・ω・´)	(｀・ω・´)	xx
(´・ω・｀)	(´・ω・｀)	xx
(´〃・ω・〃`)	(´〃・ω・〃`)	xx
(*´・ω・`)	(*´・ω・`)	xx
(｀❀・ω・❀´)	(｀❀・ω・❀´)	xx
(бвб)	(бвб)	xx
(=σωσ=)	(=σωσ=)	xx
(´◕ω◕`)	(´◕ω◕`)	xx
( ◔ิω◔ิ)	( ◔ิω◔ิ)	xx
(´⊙ω⊙`)	(´⊙ω⊙`)	xx
ヽ(´o｀	ヽ(´o｀	xx
( ◞´•௰•`)◞	( ◞´•௰•`)◞	xx
(๑¯﹃ ¯๑)	(๑¯﹃ ¯๑)	xx
ԅ(¯ิϖ ¯ิԅ)	ԅ(¯ิϖ ¯ิԅ)	xx
ԅ(¯﹃¯ԅ)	ԅ(¯﹃¯ԅ)	xx
ヾ(＠⌒ー⌒＠)ノおはよう	ヾ(＠⌒ー⌒＠)ノおはよう	xx
お久しぶり♪( ´θ｀)ノ	お久しぶり♪( ´θ｀)ノ	xx
＼（~ｏ~）／ふぁ～	＼（~ｏ~）／ふぁ～	xx
キタ━━━(゜∀゜)━━━!!!!!	キタ━━━(゜∀゜)━━━!!!!!	xx
(๑´ڡ`๑)	(๑´ڡ`๑)	xx
(๑◕ˇڡˇ◕๑)	(๑◕ˇڡˇ◕๑)	xx
(・ω・ノ)ノ	(・ω・ノ)ノ xx
( ^-^)／且☆且＼(^-^ )	( ^-^)／且☆且＼(^-^ )	xx
٩(๑´3｀๑)۶	٩(๑´3｀๑)۶	xx
てへぺろ(・ω<)	てへぺろ(・ω<)	xx
うれぴよ(・U・)ノ	うれぴよ(・U・)ノ	xx
(≧ロ≦)	(≧ロ≦)	xx
Ξ´∇｀Ξ	Ξ´∇｀Ξ	xx
ฅ( ̳• ·̫ • ̳ฅ)にゃ♡	ฅ( ̳• ·̫ • ̳ฅ)にゃ♡	xx
(=^ェ^=)	(=^ェ^=)	xx
o(≧∀≦)o	o(≧∀≦)o	xx
_(:3」∠)_	_(:3」∠)_ xx
_(-ω-`_)⌒)_	_(-ω-`_)⌒)_	xx
٩(´0`)۶	٩(´0`)۶	xx
٩(๑´O`๑)۶	٩(๑´O`๑)۶	xx
٩(๑´0`๑)۶＊	٩(๑´0`๑)۶＊	xx
(ฅ´٥`๑)	(ฅ´٥`๑)	xx
_:(´A`」 ∠):_	_:(´A`」 ∠):_	xx
(:D)|￣|_ =3	(:D)|￣|_ =3	xx
(╯°□°）╯︵ ┻━┻	(╯°□°）╯︵ ┻━┻	xx
ლ(◉◞౪◟◉ )ლ	ლ(◉◞౪◟◉ )ლ	xx
(・∀・>)	(・∀・>)	xx
(ง •̀_•́)ง	(ง •̀_•́)ง	xx
(ง •̀ω•́)ง	(ง •̀ω•́)ง	xx
(」・ω・)」	(」・ω・)」	xx
╰(・◡・╰)	╰(・◡・╰)	xx
(´･Д･)」	(´･Д･)」	xx
(・v・҉)	(・v・҉)	xx
(・ω・)？	(・ω・)？	xx
ʕ-͏̶̶̶̯͡-ʔ	ʕ-͏̶̶̶̯͡-ʔ	xx
ლʕ•͡ᴥ•ʔ	ლʕ•͡ᴥ•ʔ xx
(^ー゜)	(^ー゜)	xx
(._.)	(._.)	xx
(・U・)	(・U・)	xx
(￣▽￣)	(￣▽￣)	xx
|(￣3￣)|	|(￣3￣)|	xx
(´-ω-｀)	(´-ω-｀)	xx
(´-ι_-｀)	(´-ι_-｀)	xx
(−_−＃)	(−_−＃)	xx
⊂((・x・))⊃	⊂((・x・))⊃	xx
(・Д・)ノ	(・Д・)ノ	xx
(o´Д`o)ﾉ	(o´Д`o)ﾉ	xx
(●´-` ●)	(●´-` ●)	xx
(ノД`)	(ノД`)	xx
(*ノ∀｀)	(*ノ∀｀)	xx
。・゜・(ノД`)・゜・。	。・゜・(ノД`)・゜・。	xx
(๑`＾´๑)	(๑`＾´๑)	xx
(◦`~´◦)	(◦`~´◦)	xx
へ(・・へ)	へ(・・へ)	xx
ε-(´∀｀; )	ε-(´∀｀; )	xx
(๑•̀д•́๑)و ̑̑	(๑•̀д•́๑)و ̑̑	xx
(๑ºั∀ºั๑)	(๑ºั∀ºั๑)	xx
(๑¯ω¯๑)	(๑¯ω¯๑)	xx
( •́__ก̀ )	( •́__ก̀ )	xx
(*′☉.̫☉)	(*′☉.̫☉)	xx
( •̀ .̫ •́ )✧	( •̀ .̫ •́ )✧	xx
ψ(｀∇´)ψ	ψ(｀∇´)ψ	xx
•﹏•	•﹏•	xx
ฅ•ﻌ•́✧	ฅ•ﻌ•́✧	xx
(੭ु ˃̶͈̀ д ˂̶͈́)੭ु⁾⁾	(੭ु ˃̶͈̀ д ˂̶͈́)੭ु⁾⁾	xx
(´ェ｀)	(´ェ｀)	xx
(ฅ• . •ฅ)	(ฅ• . •ฅ)	xx
(•̪ o •̪)	(•̪ o •̪)	xx
٩(•̤̀ᵕ•̤́๑)	٩(•̤̀ᵕ•̤́๑)	xx
(੭•̀ω•́)੭̸*✩⁺˚﻿	(੭•̀ω•́)੭̸*✩⁺˚﻿	xx
(੭ु´͈ ᐜ `͈)੭ु⁾⁾	(੭ु´͈ ᐜ `͈)੭ु⁾⁾	xx
(o>ω<o)	(o>ω<o)	xx
(＞人＜;)	(＞人＜;)	xx
(இɷஇ )	(இɷஇ )	xx
(灬╹ω╹灬)	(灬╹ω╹灬)	xx
(๑´∀`๑)	(๑´∀`๑)	xx
(*´艸`*)	(*´艸`*)	xx
ε٩ (๑•̀ω•́๑)۶з	ε٩ (๑•̀ω•́๑)۶з	xx
(ｕ_ｕ*)	(ｕ_ｕ*)	xx
(*｀へ´*)	(*｀へ´*)	xx
ʅ（´◔౪◔）ʃ	ʅ（´◔౪◔）ʃ	xx
( ๏ ₃๏ )	( ๏ ₃๏ )	xx
(๑•ั็ω•็ั๑)	(๑•ั็ω•็ั๑)	xx
◝(๑⁺᷄д⁺᷅๑)◞՞	◝(๑⁺᷄д⁺᷅๑)◞՞	xx
(๑•̀ㅁ•́๑)✧	(๑•̀ㅁ•́๑)✧	xx
(・ω<)	(・ω<)	xx
\(-∀-`)/	\(-∀-`)/	xx
\(´-∀-`)/	\(´-∀-`)/	xx
‹‹\( ´ω`)/››	‹‹\( ´ω`)/››	xx
(灬ºωº灬)	(灬ºωº灬)	xx
＼＼\\٩( 'ω' )و //／／	＼＼\\٩( 'ω' )و //／／	xx
∧( 'Θ' )∧	∧( 'Θ' )∧	xx
(´3`♪)	(´3`♪)	xx
(゜v゜)♪	(゜v゜)♪	xx
(っ´ω`c)♪♪	(っ´ω`c)♪♪	xx
(,,ō_ō )	(,,ō_ō )	xx
─=≡Σ((( つ•̀ω•́)つ	─=≡Σ((( つ•̀ω•́)つ	xx
(๑°v°๑)	(๑°v°๑)	xx
(๑⁼̴̀д⁼̴́๑)	(๑⁼̴̀д⁼̴́๑)	xx
(๑´•.̫ • `๑)	(๑´•.̫ • `๑)	xx
( ღ'ᴗ'ღ )	( ღ'ᴗ'ღ )	xx
:;(∩´﹏`∩);:	:;(∩´﹏`∩);:	xx
╰(๑ºั╰╯ºั๑)╯	╰(๑ºั╰╯ºั๑)╯	xx
（o￣ー￣o)	（o￣ー￣o)	xx
(°－゜)/	(°－゜)/	xx
(・ヮ・)/	(・ヮ・)/	xx
٩(๑•̀ω•́๑)۶	٩(๑•̀ω•́๑)۶	xx
( ๑ö๑ )	( ๑ö๑ )	xx
₍₍ ᕕ(бωб)ᕗ⁾⁾	₍₍ ᕕ(бωб)ᕗ⁾⁾	xx
(@￣ρ￣@)	(@￣ρ￣@)	xx
(,,•ω•,,)	(,,•ω•,,)	xx
( •́ ✖ •̀)	( •́ ✖ •̀)	xx
(´×ω×`)	(´×ω×`)	xx
(๑ت๑)	(๑ت๑)	xx
( • ̀ω•́ )✧	( • ̀ω•́ )✧	xx
(,,•д•,,)♥	(,,•д•,,)♥	xx
(。-ω-。)♡	(。-ω-。)♡	xx
(๑• . •๑)♡	(๑• . •๑)♡	xx
ヾ(´︶`♡)ﾉ	ヾ(´︶`♡)ﾉ	xx
٩(๑• д •๑)۶♡	٩(๑• д •๑)۶♡	xx
(´﹃｀)♡♡	(´﹃｀)♡♡	xx
ʅ(◜◡⁰)ʃ	ʅ(◜◡⁰)ʃ	xx
(✿˘︶˘*)	(✿˘︶˘*)	xx
⊂( ˆoˆ )⊃	⊂( ˆoˆ )⊃	xx
(＊∩ω∩)	(＊∩ω∩)	xx
(;:´°;Д;°`:;)	(;:´°;Д;°`:;)	xx
＼(*｀∧´)／	＼(*｀∧´)／	xx
°˖✧◝(⁰▿⁰)◜✧˖°	°˖✧◝(⁰▿⁰)◜✧˖°	xx
(灬´ㅂ`灬)	(灬´ㅂ`灬)	xx
(゜-°)/☆	(゜-°)/☆	xx
＼( 'ω')／	＼( 'ω')／	xx
٩(๑˙╰╯˙๑)۶ ³₃	٩(๑˙╰╯˙๑)۶ ³₃	xx
‘`,、(๑´∀｀๑) ‘`,、’`,、	‘`,、(๑´∀｀๑) ‘`,、’`,、	xx
( •ॢ◡-ॢ)	( •ॢ◡-ॢ)	xx
‹‹\(´ω` )/››	‹‹\(´ω` )/››	xx
∵⃝♡⍢⃝ ⍤⃝ ⍨⃝ 	∵⃝♡⍢⃝ ⍤⃝ ⍨⃝ 	xx
٩(๑>∀<๑)۶	٩(๑>∀<๑)۶	xx
(*´艸`)	(*´艸`)	xx
|ω・`）	|ω・`）	xx
(　º∀º　)	(　º∀º　)	xx
(๑′ᴗ‵๑)	(๑′ᴗ‵๑)	xx
(๑ÓωÒ๑)♡	(๑ÓωÒ๑)♡	xx
･:*+.\(( °ω° ))/.:+	･:*+.\(( °ω° ))/.:+	xx
(*ΦωΦ*)	(*ΦωΦ*)	xx
▽・x・▽	▽・x・▽	xx
 ҉٩(´︶`)۶҉	҉٩(´︶`)۶҉	xx
ヽ(•̀ω•́ )ゝ✧	ヽ(•̀ω•́ )ゝ✧	xx
(///∇///)	(///∇///)	xx
( ° ³°)	( ° ³°)	xx
(๑०д०๑)	(๑०д०๑)	xx
(´◦ω◦`)	(´◦ω◦`)	xx
(๑¯ㅁ¯๑)	(๑¯ㅁ¯๑)	xx
(´⊙A⊙｀)	(´⊙A⊙｀)	xx
(〃ω〃)	(〃ω〃)	xx
(＊´ㅂ`＊)	(＊´ㅂ`＊)	xx
(のvの)ノ♪	(のvの)ノ♪	xx
(のvの＊)♪	(のvの＊)♪	xx
( ٥ั ڡ ٥ั)	( ٥ั ڡ ٥ั)	xx
(´-ω⊂゛)♡	(´-ω⊂゛)♡	xx
(๑-﹏-๑)♡	(๑-﹏-๑)♡	xx
٩̋(๑˃́ꇴ˂̀๑) ˂ᵒ͜͡ᵏᵎ⁾”	٩̋(๑˃́ꇴ˂̀๑) ˂ᵒ͜͡ᵏᵎ⁾”	xx
ˊ_>ˋ	ˊ_>ˋ	xx
‧º·(´ฅдฅ｀)‧º·	‧º·(´ฅдฅ｀)‧º·	xx
( ͒ ́ඉ .̫ ඉ ̀ ͒)	( ͒ ́ඉ .̫ ඉ ̀ ͒)	xx
‧º·(´ฅдฅ｀)‧º·	‧º·(´ฅдฅ｀)‧º·	xx
ŧ‹\"ŧ‹\"(๑´ᄇ`๑)ŧ‹\"ŧ‹\"	ŧ‹\"ŧ‹\"(๑´ᄇ`๑)ŧ‹\"ŧ‹\"	xx
（´＊へωへ｀） ☞―――――――≡☞	（´＊へωへ｀） ☞―――――――≡☞	xx
(｡•ㅅ•｡)	(｡•ㅅ•｡)	xx
